y,x,d,t
21,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
20,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,11,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,2,4
